#OTU ID	19GMI00001	19GMI00002	19GMI00003	19GMI00004	19GMI00005	19GMI00006	19GMI00007	19GMI00008	19GMI00009	19GMI00010	19GMI00011	19GMI00012	19GMI00013	19GMI00014	19GMI00015	19GMI00016	19GMI00017	19GMI00018	19GMI00019	19GMI00020	19GMI00021	20GMI000011	20GMI000012	20GMI000013	20GMI000021	20GMI000022	20GMI000023	20GMI000031	20GMI000032	20GMI000033	20GMI0004	20GMI0005	20GMI0006	20GMI0007	20GMI0008	20GMI0009	20GMI0010	20GMI0011	20GMI0012	20GMI0013	20GMI0014	20GMI0015	20GMI0016	20GMI0017	20GMI0018	20GMI0019	20GMI0020	20GMI0021	20GMI0022	20GMI0023	20GMI0024	20GMI0025	20GMI0026	20GMI0027	20GMI0028	20GMI0029	20GMI0030	20GMI00311	20GMI00312	20GMI00313	20GMI00321	20GMI00331	20GMI00332	20GMI00333	20GMI00341	20GMI00342	20GMI00343	20GMI00351	20GMI00352	20GMI00353	20GMI00361	20GMI00362	20GMI00363	20GMI00371	20GMI00372	20GMI00373	20GMI00381	20GMI00382	20GMI00383	20GMI00391	20GMI00392	20GMI00393	20GMI00401	20GMI00402	20GMI00403	20GMI00411	20GMI00412	20GMI00413	20GMI00421	20GMI00422	20GMI00423	20GMI00431	20GMI00432	20GMI00433
Otu16	960	4201	5125	909	33	1	21	0	0	0	0	0	68	0	5864	0	150	428	0	0	0	93	93	95	48	40	34	1169	3166	1858	1.778e+04	1.365e+04	538	1575	1951	0	1527	2874	143	56	60	38	92	681	75	1	175	232	104	963	70	3592	4754	1007	2687	1989	1085	404	361	346	0	0	0	0	845	855	893	79	119	91	0	0	0	0	0	0	90	79	126	0	0	0	0	0	0	26	54	25	2068	3394	2388	827	761	357
Otu1277	127	0	0	0	0	0	24	0	0	0	0	0	1	28	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	67	11	23	0	13	0	35	102	36	77	73	53	66	146	144	0	28	0	1	43	149	9	8	45	0	0	0	0	0	0	0	0	0	0	7	9	14	13	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2	3.085e+04	7	0	225	30	1	1.457e+04	1	0	2	2	4	2070	4.642e+04	1384	0	2	0	1.003e+04	8.236e+04	22	483	538	506	0	1	0	2	1	0	2	6	1	3.02e+04	2.242e+04	2.228e+04	1	1.566e+04	4	9.217e+04	2.748e+04	6.077e+04	5.524e+04	1.918e+04	3.672e+04	2.899e+04	2.756e+04	1.809e+04	2388	4.784e+04	2	6421	5582	1.229e+04	9308	4187	4265	2	9	0	1	1	0	0	0	0	1	2.477e+04	2.419e+04	2.474e+04	1.291e+04	1.235e+04	1.311e+04	0	1	1	0	1	1	0	2	0	0	1	0	0	0	1	0	1	1	0	2	0
Otu52	3156	0	0	83	14	0	4256	0	0	0	0	1	58	6406	1	0	0	0	0	0	0	23	26	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu289	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	8	128	0	19	0	90	149	48	63	33	83	38	58	103	0	626	0	0	1	40	0	9	19	0	0	0	0	0	0	0	0	0	0	9	3	2	16	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu8	2095	5704	1.504e+04	8155	68	457	237	3192	432	0	0	0	321	118	2326	3917	1715	736	7	4	0	1093	1189	1177	54	52	66	4364	7376	5802	0	0	1	799	662	852	1239	743	505	0	377	192	311	379	327	0	0	0	0	0	46	616	0	624	0	48	91	0	0	0	0	0	0	0	9019	8896	9222	5589	6112	5713	45	60	24	0	0	0	0	0	0	24	56	125	0	0	0	300	311	357	0	0	0	0	0	0
Otu396	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1885	29	10	7	48	6	24	16	15	18	10	7	7	15	15	13	26	9	11	7	15	8	15	9	13	3	9	3	26	11	23	10	3	36	4	1	4	2	2	9	10	8	1	10	2	7	2	4	5	10	38	6	2	1	5	29	0	3	5	5	4	0	5	5	2	10	1	8	6	8	6	0	2	3	1	1	0	2	3	7	6	10	2	1	0	0	4	2	6	29	22	32	13	4	15
Otu332	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu360	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
